epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,768.949,1.42686,2.41676,1.29184,0.4427,0.46158,0.35609,0.19773,1.5995,2.36635,1.48978,0.000414439,0.000414439,0.000414439
2,1484.71,1.42403,1.90946,1.30644,0.45785,0.36686,0.36923,0.18649,1.74141,2.24197,1.61535,0.000814649,0.000814649,0.000814649
3,2204.75,1.41808,1.80025,1.30324,0.49467,0.40049,0.40349,0.21771,1.67657,1.86835,1.57124,0.00119836,0.00119836,0.00119836
4,2913.35,1.41119,1.6352,1.28319,0.481,0.45082,0.43003,0.24191,1.55221,1.80624,1.44942,0.00117575,0.00117575,0.00117575
5,3616.29,1.36613,1.53629,1.2702,0.59011,0.43886,0.49758,0.27686,1.56367,1.57975,1.51332,0.001151,0.001151,0.001151
6,4326.61,1.34621,1.46582,1.24631,0.53455,0.5308,0.53443,0.30879,1.51141,1.52022,1.41231,0.00112625,0.00112625,0.00112625
7,5048.85,1.33317,1.40511,1.23414,0.51246,0.48021,0.48129,0.2557,1.60636,1.56699,1.48423,0.0011015,0.0011015,0.0011015
8,5764.89,1.30366,1.36761,1.22436,0.62543,0.50149,0.56836,0.33279,1.4711,1.31804,1.40933,0.00107675,0.00107675,0.00107675
9,6476.69,1.26384,1.30267,1.20471,0.5907,0.48118,0.53014,0.31661,1.48556,1.41922,1.39912,0.001052,0.001052,0.001052
10,7189.87,1.2533,1.25699,1.19127,0.68883,0.57491,0.62027,0.35971,1.49674,1.27684,1.43116,0.00102725,0.00102725,0.00102725
11,7905.01,1.22598,1.20214,1.17548,0.68345,0.54852,0.58708,0.33971,1.51229,1.35086,1.41662,0.0010025,0.0010025,0.0010025
12,8648.38,1.22637,1.19356,1.17363,0.66472,0.58657,0.63245,0.38206,1.42104,1.25022,1.353,0.00097775,0.00097775,0.00097775
13,9362.1,1.20651,1.16625,1.16667,0.71756,0.59394,0.66027,0.39249,1.43461,1.22031,1.35941,0.000953,0.000953,0.000953
14,10136.8,1.21572,1.14592,1.16674,0.65651,0.61979,0.64077,0.39193,1.38733,1.20676,1.32411,0.00092825,0.00092825,0.00092825
15,10919.6,1.17797,1.10034,1.1463,0.71402,0.61332,0.6843,0.41423,1.41022,1.12808,1.34343,0.0009035,0.0009035,0.0009035
16,11715.7,1.1756,1.08283,1.14782,0.71123,0.6516,0.69036,0.42852,1.39634,1.15188,1.32925,0.00087875,0.00087875,0.00087875
17,12457.6,1.18611,1.069,1.15009,0.71286,0.61062,0.68121,0.41447,1.39362,1.16553,1.32003,0.000854,0.000854,0.000854
18,13163.3,1.15249,1.05781,1.14231,0.69077,0.66074,0.68496,0.41725,1.40465,1.1491,1.32737,0.00082925,0.00082925,0.00082925
19,13865.4,1.13509,1.01143,1.12642,0.72284,0.66814,0.72342,0.44329,1.40657,1.08902,1.32674,0.0008045,0.0008045,0.0008045
20,14570.5,1.16078,1.02626,1.1299,0.71638,0.61208,0.68551,0.41263,1.41243,1.13153,1.33477,0.00077975,0.00077975,0.00077975
21,15269.9,1.11157,0.98004,1.12292,0.73472,0.65185,0.71076,0.44327,1.40275,1.1548,1.33611,0.000755,0.000755,0.000755
22,15971.5,1.134,0.96918,1.11524,0.74556,0.65608,0.72104,0.44776,1.39308,1.06714,1.31312,0.00073025,0.00073025,0.00073025
23,16670.6,1.12543,0.96685,1.11865,0.72534,0.7113,0.72073,0.44053,1.35667,1.07102,1.29222,0.0007055,0.0007055,0.0007055
24,17366.6,1.11159,0.95176,1.10913,0.76127,0.64808,0.71265,0.44193,1.37624,1.08918,1.31379,0.00068075,0.00068075,0.00068075
25,18061.7,1.09451,0.91925,1.10824,0.75242,0.63889,0.7016,0.43884,1.36705,1.08347,1.31203,0.000656,0.000656,0.000656
